Project,FilePath,BuildResult
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_6_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_2_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_5_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_1_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_4_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_7_7/maven.log,SUCCESS
tablesaw_json,results/tablesaw_json/deptrim/pom-specialized_3_7/maven.log,SUCCESS
commons-pool,results/commons-pool/deptrim/pom-specialized_3_3/maven.log,SUCCESS
commons-pool,results/commons-pool/deptrim/pom-specialized_2_3/maven.log,SUCCESS
commons-pool,results/commons-pool/deptrim/pom-specialized_1_3/maven.log,SUCCESS
commons-validator,results/commons-validator/deptrim/pom-specialized_4_4/maven.log,SUCCESS
commons-validator,results/commons-validator/deptrim/pom-specialized_3_4/maven.log,SUCCESS
commons-validator,results/commons-validator/deptrim/pom-specialized_2_4/maven.log,SUCCESS
commons-validator,results/commons-validator/deptrim/pom-specialized_1_4/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_4_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_1_15/maven.log,FAILURE
checkstyle,results/checkstyle/deptrim/pom-specialized_5_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_12_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_13_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_10_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_8_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_14_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_15_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_11_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_9_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_2_15/maven.log,FAILURE
checkstyle,results/checkstyle/deptrim/pom-specialized_6_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_7_15/maven.log,SUCCESS
checkstyle,results/checkstyle/deptrim/pom-specialized_3_15/maven.log,SUCCESS
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_42_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_13_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_27_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_37_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_52_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_23_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_17_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_46_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_33_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_22_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_16_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_47_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_32_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_43_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_12_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_26_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_36_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_53_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_48_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_19_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_1_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_29_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_39_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_5_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_28_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_38_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_4_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_49_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_18_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_7_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_3_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_2_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_6_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_21_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_44_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_15_54/maven.log,FAILURE
spring-boot-admin_spring-boot-admin-server,results/spring-boot-admin_spring-boot-admin-server/deptrim/pom-specialized_54_54/maven.log,FAILURE
